UID,Tool Name,Link,Explanation,Category,Intent,Time Frame,Data Source,Website
00000003H8,Bitcoin Fear and Greed Index,Bitcoin Fear and Greed Index,Measures market sentiment,Market Sentiment,Sentiment Tracking,Short-Term,Sentiment Data,lookintobitcoin.com
000000042I,Active Address Sentiment Indicator,Active Address Sentiment Indicator,Sentiment analysis based on active addresses,Market Sentiment,Sentiment Tracking,Short-Term,On-Chain Data,lookintobitcoin.com
00000003BA,Bitcoin Active Addresses,Bitcoin Active Addresses,Tracks active addresses on the network,Network Activity,Market Analysis,Short-Term,On-Chain Data,lookintobitcoin.com
00000002PP,BTC Open Interest,BTC Open Interest,Measures the open interest in bitcoin futures,Liquidity and Volume,Market Analysis,Short-Term,Market Data,lookintobitcoin.com
000000032U,Bitcoin Funding Rates,Bitcoin Funding Rates,Tracks funding rates in bitcoin futures,Liquidity and Volume,Market Analysis,Short-Term,Market Data,lookintobitcoin.com
00000003I8,Lightning Network Capacity,Lightning Network Capacity,Capacity of the Bitcoin Lightning Network,Network Activity,Market Analysis,Short-Term,On-Chain Data,lookintobitcoin.com
000000039N,Lightning Network Nodes,Lightning Network Nodes,Number of nodes in the Lightning Network,Network Activity,Market Analysis,Short-Term,On-Chain Data,lookintobitcoin.com
00000003J2,Percent Addresses in Profit,Percent Addresses in Profit,Percentage of addresses in profit,Address Metrics,Market Analysis,Short-Term,On-Chain Data,lookintobitcoin.com
00000003D7,Percent Addresses in Loss,Percent Addresses in Loss,Percentage of addresses in loss,Address Metrics,Market Analysis,Short-Term,On-Chain Data,lookintobitcoin.com
00000003F8,Addresses Greater Than 1 USD,Addresses Greater Than 1 USD,Number of addresses with more than 1 USD,Address Metrics,Market Analysis,Short-Term,On-Chain Data,lookintobitcoin.com
00000003GK,Addresses Greater Than 10 USD,Addresses Greater Than 10 USD,Number of addresses with more than 10 USD,Address Metrics,Market Analysis,Short-Term,On-Chain Data,lookintobitcoin.com
00000003HW,Addresses Greater Than 100 USD,Addresses Greater Than 100 USD,Number of addresses with more than 100 USD,Address Metrics,Market Analysis,Short-Term,On-Chain Data,lookintobitcoin.com
00000003I7,Addresses Greater Than 1k USD,Addresses Greater Than 1k USD,Number of addresses with more than 1000 USD,Address Metrics,Market Analysis,Short-Term,On-Chain Data,lookintobitcoin.com
00000003JJ,Addresses Greater Than 10k USD,Addresses Greater Than 10k USD,Number of addresses with more than 10000 USD,Address Metrics,Market Analysis,Short-Term,On-Chain Data,lookintobitcoin.com
00000003KV,Addresses Greater Than 100k USD,Addresses Greater Than 100k USD,Number of addresses with more than 100000 USD,Address Metrics,Market Analysis,Short-Term,On-Chain Data,lookintobitcoin.com
00000003I9,Addresses Greater Than 1m USD,Addresses Greater Than 1m USD,Number of addresses with more than 1 million USD,Address Metrics,Market Analysis,Short-Term,On-Chain Data,lookintobitcoin.com
00000003RW,Addresses with Non-Zero Balance,Addresses with Non-Zero Balance,Number of addresses with a non-zero balance,Address Metrics,Market Analysis,Short-Term,On-Chain Data,lookintobitcoin.com
00000002I4,New Addresses,New Addresses,Number of new addresses,Address Metrics,Market Analysis,Short-Term,On-Chain Data,lookintobitcoin.com
00000003QF,SOPR (Spent Output Profit Ratio),SOPR (Spent Output Profit Ratio),Measures profit-taking activity,Profit and Loss Analysis,Market Analysis,Short-Term,On-Chain Data,lookintobitcoin.com
000000023Q,SOPR,https://kiklex.co.uk/SOPR.html,Spent Output Profit Ratio, measures overall market profit and loss,Profit and Loss Analysis,Market Analysis,Short-Term,On-Chain Data,https://chainexposed.com/
00000003FP,Sell Bubbles (Last 1 Day),https://kiklex.co.uk/SellBubbles1.html,Visualizes sell bubbles over the last day,Market Sentiment,Market Analysis,Short-Term,Market Data,https://chainexposed.com/
00000003J2,Sell Bubbles (Last 7 Days),https://kiklex.co.uk/SellBubbles7.html,Visualizes sell bubbles over the last 7 days,Market Sentiment,Market Analysis,Short-Term,Market Data,https://chainexposed.com/
00000003KA,Sell Bubbles (Last 30 Days),https://kiklex.co.uk/SellBubbles30.html,Visualizes sell bubbles over the last 30 days,Market Sentiment,Market Analysis,Short-Term,Market Data,https://chainexposed.com/
00000003I8,Supply In Profit/Loss (%),https://kiklex.co.uk/SupplyInProfit.html,Percentage of supply in profit or loss,Profit and Loss Analysis,Investment Decision,Short-Term,On-Chain Data,https://chainexposed.com/
000000035V,Transacted Volume,https://kiklex.co.uk/TransactedVolume.html,Total volume of BTC transacted,Liquidity and Volume,Market Analysis,Short-Term,Market Data,https://chainexposed.com/
00000003TN,Average Transaction Volume,https://kiklex.co.uk/AvgTransactionVolume.html,Average volume per transaction,Liquidity and Volume,Market Analysis,Short-Term,Market Data,https://chainexposed.com/
00000004E0,Transaction Volume Bands (Absolute),https://kiklex.co.uk/VolumeBandDistributionVolumeAbsolute.html,Shows absolute bands of transaction volume,Liquidity and Volume,Market Analysis,Short-Term,Market Data,https://chainexposed.com/
00000004AX,Transaction Count Bands (Absolute),https://kiklex.co.uk/VolumeBandDistributionCountAbsolute.html,Shows absolute bands of transaction counts,Liquidity and Volume,Market Analysis,Short-Term,Market Data,https://chainexposed.com/
00000004DX,Transaction Volume Bands (Relative),https://kiklex.co.uk/VolumeBandDistributionVolumeRelative.html,Shows relative bands of transaction volume,Liquidity and Volume,Market Analysis,Short-Term,Market Data,https://chainexposed.com/
00000004AU,Transaction Count Bands (Relative),https://kiklex.co.uk/VolumeBandDistributionCountRelative.html,Shows relative bands of transaction counts,Liquidity and Volume,Market Analysis,Short-Term,Market Data,https://chainexposed.com/
000000032J,Transaction Fees,https://kiklex.co.uk/FeesPaid.html,Total fees paid in transactions,Liquidity and Volume,Market Analysis,Short-Term,On-Chain Data,https://chainexposed.com/
00000003CQ,Fear And Greed Heat Map,https://kiklex.co.uk/FearAndGreedHeatMap.html,Heat map showing market sentiment,Market Sentiment,Sentiment Tracking,Short-Term,Sentiment Data,https://chainexposed.com/
00000003RZ,Young Cumulative Bands SOPR,https://kiklex.co.uk/SoprRibbonYoungCumulative.html,SOPR for young cumulative bands,Profit and Loss Analysis,Market Analysis,Short-Term,On-Chain Data,https://chainexposed.com/
00000003L8,Old Cumulative Bands SOPR,https://kiklex.co.uk/SoprRibbonOldCumulative.html,SOPR for old cumulative bands,Profit and Loss Analysis,Market Analysis,Short-Term,On-Chain Data,https://chainexposed.com/
