tweets,replies,retweets,quotes,likes,impressions,profile clicks,link clicks,engagement rate,score,
"The biggest mistake new crypto investors make:Missing early tell-tale signs of a coin breaking out.""This mistake can cost you a lot of money, and opportunity costs.That's why you need this free tool.🔻 🧵 21 • Feb 12, 2023",10,16,1,79,21100,56,0,0.80%,100.00,
"Let's examine the #Bitcoin options market with the current #BTC price at $24,500 and see what market makers do when it shoots up to $34,341Or drops to $20k 👀👇 #GEX @kingfisher_btc pic.twitter.com/PNZoXQ7l02 🧵 11 • Mar 16, 2023",8,17,3,68,18300,122,0,1.20%,88.13,
"I just got accepted as a @nansen_ai scout 🥳LFG! Jan 27, 2023",17,0,0,104,12800,250,0,2.90%,65.11,
"Don't miss these $BTC levels! 🔥Now that $BTC is above the realized price, the trend has a bullish bias.That's why you need to look for buying opportunities at support levels.The two levels I'm watching are:➡️ S1: $24k➡️ S2: $19.9kWhat are you doing? pic.twitter.com/xDP3CjLFwd Mar 27, 2023",2,6,1,26,13500,25,0,0.40%,63.47,
"Great news for #Bitcoin holders!The bear market recovery dashboard shows all conditions are met for a strong market trend. 🚀 $btc Not sure what levels to watch out for? pic.twitter.com/riciG4ys76 🧵 3 • Apr 10, 2023",10,6,1,33,12900,18,0,0.50%,60.66,
"On-chain Indicator Insights:Examining the Recent $BTC Price ActionWhat can we expect?🔻 🧵 12 • Feb 11, 2023",4,12,1,29,12000,32,0,0.60%,56.76,
"$30m $BTC sell walls removed at 25.5k 🙌source: gala pic.twitter.com/tvJm10VBRU Mar 15, 2023",9,4,1,56,10500,107,0,1.70%,51.35,
"$BTC market makers will likely trade with the trend with the next breakout to stay delta neutral.Delta < 0 (purple-red) → dealers trade with price action to stay hedged. #Gex chart, which calculates the gamma positions of options traders from @kingfisher_btc pic.twitter.com/S9NXnjnLWN Mar 14, 2023",1,6,1,29,9800,68,0,1.10%,47.12,
"NVT Golden Cross just hit 8.49!Is this a sign of a #Bitcoin local market top?Let's break down what this means for $BTC and investors.👇 pic.twitter.com/lZkvO5Fsbl 🧵 6 • Mar 17, 2023",3,6,3,43,9300,22,0,0.80%,44.08,
"#Bitcoin to $150kThe market value to realized value ratio shows a clear path to $150k in the next 2 years.Are you going to fade the next rally? #btc #glassnode pic.twitter.com/8U6NgIGiSF Apr 9, 2023",23,15,2,89,9000,42,0,1.90%,43.70,
"The biggest mistake new & old crypto investors make:""They rely on influencers to tell them what to buy.""Here's how to use one of my favorite onchain tools to find profitable traders and opportunities.👇 @DexCheck_io pic.twitter.com/vPHhcRYxOR 🧵 22 • Mar 31, 2023",5,10,2,24,7900,50,0,1.10%,37.99,
